api_name,csv_name,league,confidence
Standard,Standard,B1,100
Lierse,Lierse,B1,100
Waregem,Waregem,B1,100
Club Brugge,Club Brugge,B1,100
Westerlo,Westerlo,B1,100
Anderlecht,Anderlecht,B1,100
Kortrijk,Kortrijk,B1,100
Genk,Genk,B1,100
St Truiden,St Truiden,B1,100
Charleroi,Charleroi,B1,100
Gent,Gent,B1,100
Cercle Brugge,Cercle Brugge,B1,100
Eupen,Eupen,B1,100
Lokeren,Lokeren,B1,100
Mechelen,Mechelen,B1,100
Germinal,Germinal,B1,100
FC Koln,FC Koln,D1,100
Werder Bremen,Werder Bremen,D1,100
Kaiserslautern,Kaiserslautern,D1,100
Nurnberg,Nurnberg,D1,100
Leverkusen,Leverkusen,D1,100
Stuttgart,Stuttgart,D1,100
Hamburg,Hamburg,D1,100
Ein Frankfurt,Ein Frankfurt,D1,100
Hoffenheim,Hoffenheim,D1,100
Dortmund,Dortmund,D1,100
St Pauli,St Pauli,D1,100
Schalke 04,Schalke 04,D1,100
Mainz,Mainz,D1,100
M'gladbach,M'gladbach,D1,100
Freiburg,Freiburg,D1,100
Hannover,Hannover,D1,100
Wolfsburg,Wolfsburg,D1,100
Bayern Munich,Bayern Munich,D1,100
Duisburg,Duisburg,D2,100
Munich 1860,Munich 1860,D2,100
Paderborn,Paderborn,D2,100
Greuther Furth,Greuther Furth,D2,100
Augsburg,Augsburg,D2,100
Ingolstadt,Ingolstadt,D2,100
Erzgebirge Aue,Erzgebirge Aue,D2,100
Osnabruck,Osnabruck,D2,100
Fortuna Dusseldorf,Fortuna Dusseldorf,D2,100
Cottbus,Cottbus,D2,100
Bochum,Bochum,D2,100
Frankfurt FSV,Frankfurt FSV,D2,100
Oberhausen,Oberhausen,D2,100
Hertha,Hertha,D2,100
Bielefeld,Bielefeld,D2,100
Union Berlin,Union Berlin,D2,100
Karlsruhe,Karlsruhe,D2,100
Aachen,Aachen,D2,100
Everton,Everton,E0,100
Newcastle,Newcastle,E0,100
Blackpool,Blackpool,E0,100
Chelsea,Chelsea,E0,100
Tottenham,Tottenham,E0,100
Stoke,Stoke,E0,100
Blackburn,Blackburn,E0,100
Liverpool,Liverpool,E0,100
Man United,Man United,E0,100
Aston Villa,Aston Villa,E0,100
Man City,Man City,E0,100
West Ham,West Ham,E0,100
Wolves,Wolves,E0,100
Fulham,Fulham,E0,100
Sunderland,Sunderland,E0,100
West Brom,West Brom,E0,100
Bolton,Bolton,E0,100
Arsenal,Arsenal,E0,100
Wigan,Wigan,E0,100
Birmingham,Birmingham,E0,100
Swansea,Swansea,E1,100
Sheffield United,Sheffield United,E1,100
Watford,Watford,E1,100
Hull,Hull,E1,100
Norwich,Norwich,E1,100
Coventry,Coventry,E1,100
Burnley,Burnley,E1,100
Leeds,Leeds,E1,100
Portsmouth,Portsmouth,E1,100
Millwall,Millwall,E1,100
Reading,Reading,E1,100
QPR,QPR,E1,100
Nott'm Forest,Nott'm Forest,E1,100
Crystal Palace,Crystal Palace,E1,100
Doncaster,Doncaster,E1,100
Derby,Derby,E1,100
Bristol City,Bristol City,E1,100
Leicester,Leicester,E1,100
Scunthorpe,Scunthorpe,E1,100
Middlesbrough,Middlesbrough,E1,100
Ipswich,Ipswich,E1,100
Preston,Preston,E1,100
Cardiff,Cardiff,E1,100
Barnsley,Barnsley,E1,100
Plymouth,Plymouth,E2,100
Milton Keynes Dons,Milton Keynes Dons,E2,100
Leyton Orient,Leyton Orient,E2,100
Colchester,Colchester,E2,100
Southampton,Southampton,E2,100
Brighton,Brighton,E2,100
Hartlepool,Hartlepool,E2,100
Tranmere,Tranmere,E2,100
Oldham,Oldham,E2,100
Rochdale,Rochdale,E2,100
Huddersfield,Huddersfield,E2,100
Peterboro,Peterboro,E2,100
Dag and Red,Dag and Red,E2,100
Walsall,Walsall,E2,100
Exeter,Exeter,E2,100
Yeovil,Yeovil,E2,100
Bournemouth,Bournemouth,E2,100
Swindon,Swindon,E2,100
Carlisle,Carlisle,E2,100
Notts County,Notts County,E2,100
Bristol Rvs,Bristol Rvs,E2,100
Sheffield Weds,Sheffield Weds,E2,100
Charlton,Charlton,E2,100
Brentford,Brentford,E2,100
Burton,Burton,E3,100
Bradford,Bradford,E3,100
Crewe,Crewe,E3,100
Cheltenham,Cheltenham,E3,100
Hereford,Hereford,E3,100
Stevenage,Stevenage,E3,100
Barnet,Barnet,E3,100
Torquay,Torquay,E3,100
Southend,Southend,E3,100
Morecambe,Morecambe,E3,100
Port Vale,Port Vale,E3,100
Chesterfield,Chesterfield,E3,100
Shrewsbury,Shrewsbury,E3,100
Northampton,Northampton,E3,100
Accrington,Accrington,E3,100
Macclesfield,Macclesfield,E3,100
Rotherham,Rotherham,E3,100
Lincoln,Lincoln,E3,100
Stockport,Stockport,E3,100
Wycombe,Wycombe,E3,100
Gillingham,Gillingham,E3,100
Aldershot,Aldershot,E3,100
Oxford,Oxford,E3,100
Bury,Bury,E3,100
Fleetwood Town,Fleetwood Town,EC,100
Rushden & D,Rushden & D,EC,100
Crawley Town,Crawley Town,EC,100
Altrincham,Altrincham,EC,100
Kidderminster,Kidderminster,EC,100
AFC Wimbledon,AFC Wimbledon,EC,100
Southport,Southport,EC,100
York,York,EC,100
Histon,Histon,EC,100
