fixture_id,league_id,season,date,home_team_id,away_team_id,home_team_name,away_team_name,goals_home,goals_away,score_p1_home,score_p1_away,score_p2_home,score_p2_away,score_p3_home,score_p3_away,score_ot_home,score_ot_away,score_pen_home,score_pen_away,status_short,created_at,reg_goals_home,reg_goals_away,target,home_elo,away_elo,elo_diff,home_rolling_goals,home_rolling_conceded,home_btts_rate,home_rest_days,away_rolling_goals,away_rolling_conceded,away_btts_rate,away_rest_days,form_diff,defensive_diff,btts_interaction,rest_diff
176407,173,2022,2022-04-11 10:00:00,1766,1763,Israel U18,Mexico U18,4,3,0,2,4,0,0,1,0,0,0,0,FT,2026-01-02 16:15:22.458629,4,3,2,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
176408,173,2022,2022-04-11 13:30:00,1765,1764,Iceland U18,Belgium U18,3,1,2,0,1,0,0,1,0,0,0,0,FT,2026-01-02 16:15:22.458629,3,1,2,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
176409,173,2022,2022-04-11 17:30:00,1762,1767,Chinese Taipei U18,Turkey U18,8,3,3,1,4,1,1,1,0,0,0,0,FT,2026-01-02 16:15:22.458629,8,3,2,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
176410,173,2022,2022-04-12 10:00:00,1766,1765,Israel U18,Iceland U18,3,6,0,2,2,3,1,1,0,0,0,0,FT,2026-01-02 16:15:22.458629,3,6,0,1515.0,1515.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
176411,173,2022,2022-04-12 13:30:00,1763,1762,Mexico U18,Chinese Taipei U18,0,4,0,2,0,1,0,1,0,0,0,0,FT,2026-01-02 16:15:22.458629,0,4,0,1485.0,1515.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
176412,173,2022,2022-04-12 17:30:00,1764,1767,Belgium U18,Turkey U18,5,0,2,0,2,0,1,0,0,0,0,0,FT,2026-01-02 16:15:22.458629,5,0,2,1485.0,1485.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
176413,173,2022,2022-04-14 10:00:00,1764,1763,Belgium U18,Mexico U18,9,1,1,1,2,0,6,0,0,0,0,0,FT,2026-01-02 16:15:22.458629,9,1,2,1500.0,1471.2919947606663,28.708005239333716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
176414,173,2022,2022-04-14 13:30:00,1766,1762,Israel U18,Chinese Taipei U18,2,5,1,1,0,1,1,3,0,0,0,0,FT,2026-01-02 16:15:22.458629,2,5,0,1500.0,1528.7080052393337,-28.708005239333716,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
176415,173,2022,2022-04-14 17:30:00,1765,1767,Iceland U18,Turkey U18,4,2,2,0,1,1,1,1,0,0,0,0,FT,2026-01-02 16:15:22.458629,4,2,2,1530.0,1470.0,60.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
176416,173,2022,2022-04-15 10:00:00,1762,1764,Chinese Taipei U18,Belgium U18,2,4,0,3,2,0,0,1,0,0,0,0,FT,2026-01-02 16:15:22.458629,2,4,0,1542.471394035391,1513.7633887960574,28.708005239333716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
